Mode,Date,Map,Agent,Result,ATK_Round,DEF_Round,Enemy_Round,ATK_1stblood,DEF_1stblood,ATK_GetRound_after_1stblood,DEF_GetRound_after_1stblood,ATK_AllKill,DEF_AllKill,ATK_Plant,DEF_Plant,ATK_Plant_win,DEF_Plant_win,ATK_Defuse,DEF_Defuse,ATK_Detonation,DEF_Detonation,is_MVP,ACS,Kill,Death,Assist,MoneyRating,1stblood,Plant,Defuse
Unrated,2022-05-23,Haven,Chamber,win,6,6,13,9,7,4,5,6,2.0,12,12,6,6,3,4,0,2,1,335,28,17,7,81,8,0,1
Unrated,2022-05-23,Split,Jett,lose,0,1,6,0,2,0,1,0,1.0,2,12,0,1,0,0,0,1,0,121,7,6,0,74,0,0,0
Unrated,2022-05-23,Fracture,Chamber,win,5,8,7,5,6,3,4,5,4.0,8,12,5,8,1,4,0,0,0,227,17,12,3,70,2,0,1
Unrated,2022-05-24,Icebox,Jett,win,7,6,11,8,8,6,6,7,2.0,12,12,7,6,3,4,0,2,0,254,22,21,5,61,7,1,0
Unrated,2022-05-24,Bleeze,Skye,lose,1,4,13,2,4,0,2,1,4.0,6,12,1,4,3,0,0,0,0,313,18,15,8,72,1,2,0
Unrated,2022-05-26,Icebox,Chamber,win,6,7,8,5,8,4,7,5,6.0,12,9,6,7,3,1,1,0,1,404,31,12,3,145,5,1,1
Unrated,2022-05-26,Acent,Cypher,lose,4,7,13,7,6,4,5,4,6.0,12,12,4,7,2,1,0,0,0,271,24,16,5,72,1,0,0
Unrated,2022-05-26,Fracture,Chamber,win,9,3,12,8,4,8,2,7,1.0,12,12,9,3,1,2,2,3,1,350,33,12,2,91,4,0,1
Unrated,2022-05-27,Bind,Reyna,lose,6,4,13,6,7,4,3,5,1.0,12,11,5,4,3,3,1,0,1,310,23,19,5,75,6,1,0
Unrated,2022-05-27,Fracuture,Chamber,lose,1,0,8,2,0,1,0,1,0.0,12,2,1,0,2,0,0,0,0,145,6,8,1,78,1,0,0
Unrated,2022-05-27,Bind,Skye,lose,0,0,7,0,2,0,0,0,0.0,1,12,0,0,0,0,0,1,0,57,2,7,1,28,0,0,0
Unrated,2022-05-27,Haven,Jett,win,9,4,10,9,6,4,8,8,3.0,11,12,9,4,1,1,1,1,1,428,32,17,5,118,9,0,0
Unrated,2022-05-31,Acent,Cypher,win,9,4,9,5,5,5,2,7,3.0,12,10,9,4,1,1,2,0,1,351,28,15,6,100,3,1,1
Unrated,2022-05-31,Haven,Jett,lose,8,4,13,7,5,6,3,6,1.0,12,12,8,4,3,2,2,2,1,381,34,16,1,86,6,0,1
Unrated,2022-06-02,Fracture,Jett,win,10,3,5,8,5,7,3,8,3.0,12,6,10,3,0,0,2,0,0,292,17,16,6,72,4,0,0
Rank,2022-05-06,Icebox,Reyna,lose,6,5,13,4,6,2,6,5,1.0,12,12,6,5,3,4,1,2,0,185,15,20,3,56,4,0,0
Rank,2022-05-06,Split,Omen,lose,6,4,13,6,3,5,2,5,2.0,12,11,6,4,0,2,1,0,0,199,15,23,5,50,0,0,0
Rank,2022-05-29,Bleeze,Jett,lose,2,7,13,4,7,1,5,2,5.0,10,12,2,7,2,2,0,0,0,269,20,17,4,73,7,0,1
Rank,2022-06-02,Icebox,Chamber,win,8,5,10,9,10,6,5,7,4.0,11,12,8,5,1,1,1,2,0,256,21,14,3,79,7,1,1
Rank,2022-06-02,Acent,Reyna,win,7,6,7,8,4,7,4,7,2.0,12,8,7,6,3,3,0,0,1,387,30,12,3,88,3,1,1
Rank,2022-06-04,Fracture,Chamber,lose,3,0,13,5,1,3,0,3,0.0,12,4,3,0,4,0,0,1,0,213,10,15,5,59,2,2,0
Rank,2022-06-4,Split,Jett,lose,4,5,13,2,8,2,4,4,3.0,10,12,4,5,2,2,0,0,1,255,19,18,3,61,4,1,1
Unrated,2022-06-11,Split,Cypher,win,8,5,9,7,6,6,5,6,,10,12,8,5,1,1,2,0,0,206,16,14,5,60,0,6,1
Unrated,2022-06-11,Fracture,Chamber,lose,5,4,13,4,5,2,2,2,2.0,12,10,5,4,3,2,3,1,0,199,14,22,4,51,3,0,0
Unrated,2022-06-13,Bleeze,Chamber,win,5,8,8,6,0,4,0,5,0.0,12,9,5,8,2,0,0,0,0,231,16,8,4,147,4,0,0
Unrated,2022-06-13,Bind,Omen,win,5,8,4,4,5,4,5,5,6.0,5,12,5,8,0,2,0,0,0,273,16,10,7,100,5,1,0
Unrated,2022-06-13,Icebox,Jett,win,7,6,6,8,6,7,5,7,4.0,12,7,7,6,2,1,0,0,0,289,19,10,2,87,5,1,1
Unrated,2022-06-14,Have,Reyna,win,7,6,6,4,3,3,3,5,6.0,12,7,7,6,2,0,0,0,0,266,18,14,3,64,3,0,0
Unrated,2022-06-14,Icebox,Reyna,win,10,3,5,10,6,8,3,10,3.0,12,6,10,3,1,0,0,1,1,528,34,12,1,118,10,0,0
Unrated,2022-06-17,Bind,Cypher,win,4,8,12,9,3,3,3,4,2.0,12,12,4,8,4,6,0,0,0,290,27,19,5,62,2,1,3
Unrated,2022-06-17,Split,Chamber,win,5,8,11,5,9,4,5,2,4.0,12,12,5,8,4,3,3,1,1,336,30,16,4,75,5,1,0
Unrated,2022-6-18,Acent,Jett,lose,6,3,13,8,5,5,2,6,1.0,12,10,6,3,3,2,0,0,0,307,22,18,3,78,7,0,0
Unrated,2022-06-18,Bleeze,Skye,win,3,10,9,6,11,2,9,2,6.0,10,12,3,10,3,4,1,0,1,448,32,14,8,126,5,2,3
Unrated,2022-06-18,Split,Cypher,win,7,6,10,8,5,6,3,6,2.0,12,11,7,6,1,3,1,0,0,266,23,13,6,66,4,1,1
Unrated,2022-06-18,Bleeze,Skye,win,3,10,9,6,11,2,9,2,6,10,12,3,10,3,4,1,0,1,448,32,14,8,126,5,2,3
Unrated,2022-06-18,Split,Cypher,win,7,6,10,8,5,6,3,6,2,12,11,7,6,1,3,1,0,0,266,23,13,6,66,4,1,1
Unrated,2022-06-18,Haven,Omen,win,7,6,11,8,6,7,4,6,4,12,12,7,6,2,2,1,1,0,222,18,17,5,69,2,0,1
Unrated,2022-06-18,Icebox,Chamber,win,5,8,10,3,9,2,7,5,5,12,11,5,8,1,0,0,0,0,191,16,18,1,49,1,0,0
Unrated,2022-06-18,Bind,Phoenix,win,10,3,2,9,0,8,0,8,0,12,3,10,3,0,0,0,0,0,161,10,3,1,65,1,2,0
Unrated,2022-06-18,Split,Chamber,win,4,8,12,3,5,2,4,4,4,12,12,4,8,2,4,0,0,0,210,19,21,4,47,2,0,2
Unrated,2022-06-20,Fracture,Chamber,win,8,5,3,9,4,6,4,6,4,12,6,8,5,1,1,2,0,0,180,11,8,2,59,2,0,0
Unrated,2022-06-20,Icebox,Reyna,win,8,5,8,3,6,2,5,7,3,12,9,8,5,2,2,1,1,0,376,31,17,4,87,4,0,0